"semana","SKU","Descripcion","Familia","Codigo_familia","Subfamilia","Unidad_medida","clasificacion_ABC","nivel_servicio_objetivo","lambda_sku","costo_unitario","margen_bruto","precio_venta","factor_estacional","demanda_semanal","inventario_inicial","unidades_recibidas","ventas","demanda_insatisfecha","quiebre_stock","devoluciones","inventario_final","posicion_inventario","punto_reorden","stock_seguridad","pedido_realizado","cantidad_pedida","lead_time_pedido","valor_inventario_final","costo_mantener_sem","costo_faltante_sem","costo_ordenar_sem"
9,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,285391.26,0.1922,353302.54,0.8827,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2568521.37,12348.66,0,0
10,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,272335.3,0.1922,337139.8,0.851,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2451017.74,11783.74,0,0
11,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,261033.22,0.1922,323148.28,0.7142,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2349298.94,11294.71,0,0
12,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,268687.33,0.1922,332623.75,0.7931,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2418185.93,11625.89,0,0
13,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,269339.35,0.1922,333430.93,0.7871,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2424054.14,11654.11,0,0
14,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,291119.02,0.1922,360393.25,0.8027,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2620071.14,12596.5,0,0
15,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,286944.49,0.1922,355225.37,0.8036,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2582500.44,12415.87,0,0
16,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,275522.17,0.1922,341085.01,0.8501,0,9,0,0,0,0,0,9,9,8.57,4.28,0,0,NA,2479699.53,11921.63,0,0
17,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,270884.95,0.1922,335344.32,0.6919,5,9,0,5,0,0,0,4,4,8.57,4.28,1,6,7.199,1083539.79,5209.33,0,60000
18,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,272837.39,0.1922,337761.36,0.7752,0,4,0,0,0,0,0,4,10,8.57,4.28,0,0,NA,1091349.55,5246.87,0,0
19,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,266395.54,0.1922,329786.62,0.816,2,4,0,2,0,0,0,2,8,8.57,4.28,1,2,2.589,532791.08,2561.5,0,60000
20,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,280238.06,0.1922,346923.09,0.7807,2,2,0,2,0,0,0,0,8,8.57,4.28,1,2,4.779,0,0,0,60000
21,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,281874.12,0.1922,348948.46,0.8118,0,0,0,0,0,0,0,0,10,8.57,4.28,0,0,NA,0,0,0,0
22,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,286135.33,0.1922,354223.66,0.7601,0,0,2,0,0,0,0,2,10,8.57,4.28,0,0,NA,572270.67,2751.3,0,0
23,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,274684.73,0.1922,340048.29,0.7538,5,2,0,2,3,1,0,0,8,8.57,4.28,1,2,5.496,0,0,196090.68,60000
24,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,263406.41,0.1922,326086.21,0.8723,0,0,6,0,0,0,0,6,10,8.57,4.28,0,0,NA,1580438.49,7598.26,0,0
25,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,282953.48,0.1922,350284.66,0.7658,0,6,2,0,0,0,0,8,10,8.57,4.28,0,0,NA,2263627.85,10882.83,0,0
26,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,289945.7,0.1922,358940.74,0.9005,1,8,0,1,0,0,0,7,9,8.57,4.28,0,0,NA,2029619.89,9757.79,0,0
27,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,278912.23,0.1922,345281.76,0.9038,1,7,0,1,0,0,0,6,8,8.57,4.28,1,2,3.132,1673473.4,8045.55,0,60000
28,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,282035.92,0.1922,349148.75,0.9659,0,6,2,0,0,0,0,8,10,8.57,4.28,0,0,NA,2256287.33,10847.54,0,0
29,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,270522.17,0.1922,334895.22,0.9599,1,8,0,1,0,0,0,7,9,8.57,4.28,0,0,NA,1893655.2,9104.11,0,0
30,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,270849.12,0.1922,335299.97,0.9668,0,7,2,0,0,0,0,9,9,8.57,4.28,0,0,NA,2437642.1,11719.43,0,0
31,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,272004.17,0.1922,336729.87,1.037,3,9,0,3,0,0,0,6,6,8.57,4.28,1,4,3.492,1632025.02,7846.27,0,60000
32,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,296937.7,0.1922,367596.54,1.0301,0,6,0,0,0,0,0,6,10,8.57,4.28,0,0,NA,1781626.17,8565.51,0,0
33,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,287603.34,0.1922,356041,1.0373,0,6,0,0,0,0,0,6,10,8.57,4.28,0,0,NA,1725620.07,8296.25,0,0
34,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,261071.57,0.1922,323195.77,1.1616,1,6,4,1,0,0,0,9,9,8.57,4.28,0,0,NA,2349644.16,11296.37,0,0
35,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,278826.09,0.1922,345175.12,1.2133,3,9,0,3,0,0,0,6,6,8.57,4.28,1,4,3.36,1672956.54,8043.06,0,60000
36,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,270775.35,0.1922,335208.64,1.1428,3,6,0,3,0,0,0,3,7,8.57,4.28,1,3,6.141,812326.04,3905.41,0,60000
37,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,266845.85,0.1922,330344.09,1.1175,1,3,0,1,0,0,0,2,9,8.57,4.28,0,0,NA,533691.71,2565.83,0,0
38,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,274653.3,0.1922,340009.38,1.2543,0,2,4,0,0,0,0,6,9,8.57,4.28,0,0,NA,1647919.78,7922.69,0,0
39,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,267321.56,0.1922,330933,1.1133,0,6,0,0,0,0,0,6,9,8.57,4.28,0,0,NA,1603929.39,7711.2,0,0
40,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,283503.52,0.1922,350965.59,1.1975,2,6,0,2,0,0,0,4,7,8.57,4.28,1,3,4.051,1134014.09,5451.99,0,60000
41,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,277335.29,0.1922,343329.57,1.1929,0,4,0,0,0,0,0,4,10,8.57,4.28,0,0,NA,1109341.15,5333.37,0,0
42,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,273213.5,0.1922,338226.97,1.2543,1,4,3,1,0,0,0,6,9,8.57,4.28,0,0,NA,1639281.01,7881.16,0,0
43,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,289796.7,0.1922,358756.29,1.1671,2,6,0,2,0,0,1,4,7,8.57,4.28,1,3,4.071,1159186.82,5573.01,0,60000
44,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,290514.96,0.1922,359645.46,1.3216,0,4,4,0,0,0,0,8,11,8.57,4.28,0,0,NA,2324119.71,11173.65,0,0
45,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,278053.77,0.1922,344219.02,1.3007,1,8,0,1,0,0,1,7,10,8.57,4.28,0,0,NA,1946376.38,9357.58,0,0
46,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,289874.13,0.1922,358852.14,1.2255,2,7,1,2,0,0,1,6,9,8.57,4.28,0,0,NA,1739244.78,8361.75,0,0
47,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,292796.91,0.1922,362470.42,1.2869,6,6,4,6,0,0,0,4,4,8.57,4.28,1,6,3.776,1171187.63,5630.71,0,60000
48,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,268378.1,0.1922,332240.95,1.2336,0,4,0,0,0,0,0,4,10,8.57,4.28,0,0,NA,1073512.42,5161.12,0,0
49,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,268761.81,0.1922,332715.96,1.2108,0,4,0,0,0,0,0,4,10,8.57,4.28,0,0,NA,1075047.24,5168.5,0,0
50,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,274087.56,0.1922,339309.02,1.0829,0,4,0,0,0,0,0,4,10,8.57,4.28,0,0,NA,1096350.24,5270.91,0,0
51,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,273955.9,0.1922,339146.03,1.1559,1,4,6,1,0,0,0,9,9,8.57,4.28,0,0,NA,2465603.13,11853.86,0,0
52,"HER-CAL-001","Pistolas de Calor","Herramientas","HER","Pistolas de calor","unidad","C",0.9,1.0718,270372.69,0.1922,334710.16,1.061,3,9,0,3,0,0,0,6,6,8.57,4.28,1,4,5.823,1622236.14,7799.21,0,60000
1,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,641889.21,0.3179,941058.87,1.1345,1,9,0,1,0,0,0,8,8,8.26,4.71,1,1,9.976,5135113.69,24688.05,0,60000
2,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,609399.14,0.3179,893425.92,1.0652,2,8,0,2,0,0,0,6,7,8.26,4.71,1,2,6.727,3656394.83,17578.82,0,60000
3,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,674299.16,0.3179,988574.34,1.0516,1,6,0,1,0,0,0,5,8,8.26,4.71,1,1,5.863,3371495.8,16209.11,0,60000
4,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,692641.61,0.3179,1015465.78,1.0099,1,5,0,1,0,0,0,4,8,8.26,4.71,1,1,1.439,2770566.44,13320.03,0,60000
5,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,651513.86,0.3179,955169.34,1.0302,1,4,1,1,0,0,0,4,8,8.26,4.71,1,1,6.922,2606055.43,12529.11,0,60000
6,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,622545.13,0.3179,912698.96,0.9219,0,4,0,0,0,0,0,4,9,8.26,4.71,0,0,NA,2490180.53,11972.02,0,0
7,"HER-DEM-001","Demoledor","Herramientas","HER","Demoledor","unidad","B",0.95,0.8862,647835.51,0.3179,949776.6,0.8989,3,4,0,3,0,0,1,1,6,8.26,4.71,1,3,3.779,647835.51,3114.59,0,60000
